,Name,Where_They_Live,Introduction,Types,Image
0,Chim Hải Âu,"Châu Á, Bắc Mỹ, Châu Âu","Chim Hải Âu loài chim sinh sống ở đại dương và vùng biển trên thế giới có ngoại hình đẹp, cùng kỹ thuật săn mồi điêu luyện. Chúng được tìm thấy trên các bờ biển của Châu Á, Bắc Mỹ và Châu Âu.",4,hai_au.jpg
1,Chim Công,"Châu Phi, Châu Á",Chim công là loài chim lớn và nổi tiếng với hình dạng và màu sắc độc đáo. Chúng được tìm thấy ở Châu Phi và Châu Á.,3,chim_cong.jpg
2,Chim Hoàng Yến,"Châu Á, Châu Âu, Bắc Mỹ","Hoàng Yến hay còn có nhiều tên gọi khác như Yến hót, Yến Đại Tây Dương, Yến Canary. Nó được đánh giá là một loài chim thông minh, nhanh nhẹn, hót hay",6,hoang_yen.jpg
3,Chim Hồng Hạc,Nam Mỹ,Chim Hồng Hạc là loài chim lớn và có sải cánh rộng nhất trong số các loài chim. Chúng sinh sống ở khu vực Nam Mỹ.,3,hong_hac.jpg
4,Chim Cú Mèo,"Châu Phi, Châu Á",Chim Cú Mèo là một loài chim thuộc họ chim cú. Chúng có hình dạng và màu sắc đặc trưng và được tìm thấy ở Châu Phi và Châu Á.,7,cu_meo.jpg
5,Chim Bồ Câu,Toàn cầu,"Chim Bồ Câu là một loài chim gần gũi với con người và sinh sống trên toàn thế giới. Chúng có thân hình nhỏ, chân ngắn và thích sống trong môi trường gần con người.",9,bo_cau.jpg
6,Diều hâu,Toàn cầu,"Diều hâu là loài chim săn mồi có kích thước trung bình đến lớn. Chúng nổi tiếng với tầm nhìn sắc nét và khả năng bay mạnh mẽ. Diều hâu thường săn bắt các loài động vật nhỏ và sống ở rừng, vùng đồng cỏ và khu vực núi.",300,hawk.jpg
7,Chim én,Toàn cầu,"Chim én là loài chim nhỏ có khả năng bay dài và nhanh. Chúng có lông màu sẫm và hình dáng thon gọn. Chim én sống trong các khu rừng, vùng đồng cỏ và khu đô thị trên toàn thế giới và ăn chủ yếu các loại côn trùng.",83,swallow.jpg
8,Chim sẻ,Toàn cầu,"Chim sẻ là loài chim nhỏ với lông màu nâu và trắng. Chúng nổi tiếng với khả năng xây tổ tinh xảo và làm tổ trong các khu vực có cây. Chim sẻ sống trong rừng, vườn cây và khu đô thị và ăn chủ yếu hạt và côn trùng.",53,sparrow.jpg
9,Chim họa mi,Toàn cầu,Chim họa mi là loài chim nhỏ với lông màu nâu và trắng. Chúng nổi tiếng với khả năng hát hay và âm thanh đa dạng. Chim họa mi sống trong các khu vực có cây và ăn chủ yếu các loại trái cây và côn trùng.,12,mockingbird.jpg
10,Chim diệc,Châu Phi,"Chim diệc là loài chim nhỏ với màu lông đa dạng và mỏ dài. Chúng nổi tiếng với khả năng tạo ra âm thanh phức tạp và hấp dẫn. Chim diệc sống trong các khu rừng và ăn chủ yếu côn trùng, mật hoa và trái cây.",34,starling.jpg
11,Chim cút,Toàn cầu,Chim cút là loài chim nhỏ với lông màu nâu và trắng. Chúng sống trong các khu vực cỏ cây và thích ăn hạt và côn trùng. Chim cút thường sống thành đàn nhỏ và thường được nuôi để lấy thịt và trứng.,32,quail.jpg
12,Chim bồ nông,Châu Phi,"Chim bồ nông là loài chim lớn với cổ dài và chân dài. Chúng có màu lông đa dạng và sống trong các khu vực đầm lầy và sông ngòi. Chim bồ nông ăn chủ yếu cá, ếch và động vật nhỏ khác.",12,heron.jpg
13,Chim hạc,Toàn cầu,"Chim hạc là loài chim lớn với cổ dài và lông trắng tinh. Chúng sống trong các khu vực nước lớn và đầm lầy. Chim hạc ăn chủ yếu cá, ếch và động vật nhỏ.",18,swan.jpg
14,Chim yến,Toàn cầu,Chim yến là loài chim nhỏ với lông màu xám và sọc trắng. Chúng sống trong các khu vực cây cối và thường xây tổ dưới mái nhà hoặc trong hang đá. Chim yến ăn chủ yếu các loại côn trùng.,40,swift.jpg
15,Chim quạ,Toàn cầu,"Chim quạ là loài chim nhỏ với hình dáng gọn gàng và lông màu xám. Chúng sống trong các khu vực rừng cây và thích ăn thức ăn như thịt, trái cây và côn trùng. Chim quạ thường bay thành đàn và có khả năng bay nhanh.",35,sparrowhawk.jpg
16,Chim bìm bịp,Toàn cầu,"Chim bìm bịp là loài chim nhỏ với lông màu sặc sỡ và tiếng hót đặc trưng. Chúng sống trong các khu vực rừng cây và thích ăn trái cây, mật hoa và côn trùng. Chim bìm bịp nổi tiếng với khả năng hát hay.",60,bulbul.jpg
